Date,TypeDepense,Departement,Agence,Montant,Description
2024-05-07,Autres,Marketing,Nzérékoré,50761,Dépense liée à autres
2024-11-13,Voyages,Ventes,Kindia,124990,Dépense liée à voyages
2024-10-01,Voyages,Finance,Kindia,131427,Dépense liée à voyages
2024-01-19,Maintenance,Marketing,Labé,182067,Dépense liée à maintenance
2024-05-26,Frais bancaires,Opérations,Conakry,195859,Dépense liée à frais bancaires
2024-12-11,Marketing,Finance,Nzérékoré,52640,Dépense liée à marketing
2024-06-01,Voyages,Finance,Kindia,90134,Dépense liée à voyages
2024-01-23,Frais bancaires,Finance,Labé,43059,Dépense liée à frais bancaires
2024-10-17,Maintenance,Marketing,Labé,35183,Dépense liée à maintenance
2024-03-27,Autres,Finance,Nzérékoré,166065,Dépense liée à autres
2024-05-22,Frais bancaires,Opérations,Nzérékoré,154280,Dépense liée à frais bancaires
2024-01-02,Salaires,Ventes,Labé,36642,Dépense liée à salaires
2024-09-07,Autres,Ventes,Nzérékoré,24698,Dépense liée à autres
2024-03-02,Infrastructure IT,Support Client,Conakry,170992,Dépense liée à infrastructure it
2024-03-31,Frais bancaires,Support Client,Kindia,23825,Dépense liée à frais bancaires
2024-04-24,Formation,Ventes,Kankan,172983,Dépense liée à formation
2024-07-06,Frais bancaires,Ventes,Kindia,82167,Dépense liée à frais bancaires
2024-03-20,Frais bancaires,Support Client,Conakry,16262,Dépense liée à frais bancaires
2024-01-15,Salaires,Marketing,Nzérékoré,79183,Dépense liée à salaires
2024-04-12,Voyages,Marketing,Labé,47290,Dépense liée à voyages
2024-09-06,Formation,Marketing,Kindia,161768,Dépense liée à formation
2024-06-22,Frais bancaires,Finance,Kankan,146352,Dépense liée à frais bancaires
2024-05-27,Marketing,Finance,Labé,97417,Dépense liée à marketing
2024-08-05,Salaires,Support Client,Labé,167935,Dépense liée à salaires
2024-09-20,Maintenance,Support Client,Kindia,104922,Dépense liée à maintenance
2024-07-23,Autres,Marketing,Conakry,14909,Dépense liée à autres
2024-11-20,Frais bancaires,Support Client,Conakry,167969,Dépense liée à frais bancaires
2024-04-01,Autres,Opérations,Kindia,173451,Dépense liée à autres
2024-08-08,Autres,Marketing,Kankan,100114,Dépense liée à autres
2024-08-26,Voyages,Opérations,Nzérékoré,160285,Dépense liée à voyages
2024-01-30,Formation,Ventes,Nzérékoré,31932,Dépense liée à formation
2024-05-13,Formation,Support Client,Kankan,116422,Dépense liée à formation
2024-05-10,Salaires,Finance,Labé,92159,Dépense liée à salaires
2024-05-13,Voyages,Finance,Conakry,161699,Dépense liée à voyages
2024-10-27,Marketing,Marketing,Nzérékoré,129766,Dépense liée à marketing
2024-11-08,Salaires,Ventes,Kankan,23932,Dépense liée à salaires
2024-12-10,Maintenance,Ventes,Kindia,114151,Dépense liée à maintenance
2024-05-25,Salaires,Opérations,Kindia,181024,Dépense liée à salaires
2024-10-10,Frais bancaires,Finance,Kankan,9984,Dépense liée à frais bancaires
2024-02-16,Marketing,Ventes,Labé,58246,Dépense liée à marketing
2024-11-25,Salaires,Finance,Nzérékoré,156881,Dépense liée à salaires
2024-02-21,Voyages,Marketing,Kindia,150714,Dépense liée à voyages
2024-11-01,Frais bancaires,Ventes,Kindia,125744,Dépense liée à frais bancaires
2024-02-27,Maintenance,Support Client,Labé,23864,Dépense liée à maintenance
2024-02-01,Marketing,Opérations,Kankan,40547,Dépense liée à marketing
2024-08-21,Formation,Marketing,Kindia,181448,Dépense liée à formation
2024-03-20,Voyages,Ventes,Conakry,60395,Dépense liée à voyages
2024-09-12,Infrastructure IT,Opérations,Nzérékoré,185385,Dépense liée à infrastructure it
2024-12-22,Salaires,Finance,Nzérékoré,35269,Dépense liée à salaires
2024-05-22,Maintenance,Marketing,Kankan,113129,Dépense liée à maintenance
2024-02-28,Frais bancaires,Ventes,Labé,51538,Dépense liée à frais bancaires
2024-05-24,Autres,Finance,Conakry,112281,Dépense liée à autres
2024-12-10,Maintenance,Marketing,Conakry,12062,Dépense liée à maintenance
2024-04-13,Voyages,Finance,Kankan,27627,Dépense liée à voyages
2024-01-10,Frais bancaires,Finance,Nzérékoré,82878,Dépense liée à frais bancaires
2024-08-31,Salaires,Finance,Kankan,181963,Dépense liée à salaires
2024-12-24,Autres,Opérations,Kindia,148716,Dépense liée à autres
2024-05-10,Autres,Support Client,Conakry,95538,Dépense liée à autres
2024-12-21,Infrastructure IT,Support Client,Kankan,179930,Dépense liée à infrastructure it
2024-12-19,Autres,Support Client,Nzérékoré,191855,Dépense liée à autres
2024-02-20,Formation,Opérations,Conakry,139422,Dépense liée à formation
2024-06-20,Formation,Support Client,Nzérékoré,115281,Dépense liée à formation
2024-11-22,Formation,Opérations,Kankan,97221,Dépense liée à formation
2024-07-19,Autres,Finance,Conakry,46167,Dépense liée à autres
2024-05-10,Salaires,Finance,Nzérékoré,76733,Dépense liée à salaires
2024-08-31,Formation,Ventes,Kindia,131986,Dépense liée à formation
2024-08-06,Voyages,Finance,Kankan,115280,Dépense liée à voyages
2024-03-12,Voyages,Marketing,Nzérékoré,55157,Dépense liée à voyages
2024-10-15,Voyages,Ventes,Kankan,129556,Dépense liée à voyages
2024-08-12,Formation,Ventes,Kindia,142123,Dépense liée à formation
2024-05-04,Marketing,Finance,Labé,124050,Dépense liée à marketing
2024-09-19,Salaires,Ventes,Conakry,110808,Dépense liée à salaires
2024-11-30,Maintenance,Ventes,Conakry,43900,Dépense liée à maintenance
2024-04-17,Formation,Opérations,Kankan,98311,Dépense liée à formation
2024-02-12,Maintenance,Finance,Conakry,64299,Dépense liée à maintenance
2024-10-01,Voyages,Support Client,Labé,82183,Dépense liée à voyages
2024-05-08,Infrastructure IT,Marketing,Conakry,103531,Dépense liée à infrastructure it
2024-09-07,Salaires,Support Client,Conakry,142846,Dépense liée à salaires
2024-09-08,Marketing,Marketing,Labé,8735,Dépense liée à marketing
2024-06-16,Frais bancaires,Finance,Kankan,75371,Dépense liée à frais bancaires
2024-11-28,Frais bancaires,Opérations,Nzérékoré,81228,Dépense liée à frais bancaires
2024-03-19,Autres,Opérations,Nzérékoré,132542,Dépense liée à autres
2024-02-06,Marketing,Ventes,Conakry,75343,Dépense liée à marketing
2024-09-26,Autres,Ventes,Kindia,164042,Dépense liée à autres
2024-06-08,Frais bancaires,Finance,Kindia,5475,Dépense liée à frais bancaires
2024-09-30,Voyages,Marketing,Kindia,113163,Dépense liée à voyages
2024-06-30,Salaires,Finance,Nzérékoré,23894,Dépense liée à salaires
2024-03-13,Infrastructure IT,Opérations,Kankan,37087,Dépense liée à infrastructure it
2024-07-28,Autres,Opérations,Kankan,14944,Dépense liée à autres
2024-09-13,Autres,Ventes,Nzérékoré,91086,Dépense liée à autres
2024-04-11,Voyages,Marketing,Conakry,154221,Dépense liée à voyages
2024-01-30,Voyages,Opérations,Kankan,9571,Dépense liée à voyages
2024-08-27,Infrastructure IT,Support Client,Labé,36466,Dépense liée à infrastructure it
2024-09-03,Formation,Marketing,Kindia,165335,Dépense liée à formation
2024-02-07,Salaires,Opérations,Conakry,199258,Dépense liée à salaires
2024-02-15,Frais bancaires,Opérations,Conakry,191859,Dépense liée à frais bancaires
2024-01-23,Infrastructure IT,Opérations,Kindia,169581,Dépense liée à infrastructure it
2024-07-15,Salaires,Opérations,Kindia,41825,Dépense liée à salaires
2024-09-11,Maintenance,Opérations,Nzérékoré,111506,Dépense liée à maintenance
2024-02-27,Voyages,Support Client,Kindia,9944,Dépense liée à voyages
2024-07-15,Salaires,Marketing,Kankan,175840,Dépense liée à salaires
2024-05-14,Marketing,Finance,Kankan,17319,Dépense liée à marketing
2024-10-21,Formation,Support Client,Conakry,181018,Dépense liée à formation
2024-08-01,Voyages,Opérations,Nzérékoré,140501,Dépense liée à voyages
2024-07-21,Formation,Ventes,Kindia,63273,Dépense liée à formation
2024-02-18,Voyages,Opérations,Nzérékoré,38640,Dépense liée à voyages
2024-10-25,Maintenance,Marketing,Nzérékoré,8984,Dépense liée à maintenance
2024-01-19,Formation,Finance,Kindia,29769,Dépense liée à formation
2024-04-01,Frais bancaires,Marketing,Kindia,23993,Dépense liée à frais bancaires
2024-08-13,Marketing,Finance,Kindia,161175,Dépense liée à marketing
2024-10-19,Frais bancaires,Ventes,Nzérékoré,125246,Dépense liée à frais bancaires
2024-10-04,Marketing,Support Client,Conakry,71559,Dépense liée à marketing
2024-09-08,Frais bancaires,Ventes,Conakry,70921,Dépense liée à frais bancaires
2024-01-14,Voyages,Finance,Conakry,93384,Dépense liée à voyages
2024-08-26,Formation,Marketing,Conakry,33468,Dépense liée à formation
2024-03-20,Marketing,Marketing,Nzérékoré,51977,Dépense liée à marketing
2024-12-15,Formation,Marketing,Labé,127226,Dépense liée à formation
2024-04-08,Infrastructure IT,Support Client,Kindia,168871,Dépense liée à infrastructure it
2024-12-01,Salaires,Finance,Kankan,38059,Dépense liée à salaires
2024-03-28,Infrastructure IT,Support Client,Nzérékoré,94220,Dépense liée à infrastructure it
2024-03-23,Autres,Marketing,Kankan,178949,Dépense liée à autres
2024-04-21,Salaires,Marketing,Kindia,29457,Dépense liée à salaires
2024-07-09,Infrastructure IT,Support Client,Labé,159671,Dépense liée à infrastructure it
2024-04-29,Salaires,Ventes,Nzérékoré,199644,Dépense liée à salaires
2024-01-17,Autres,Marketing,Kindia,131805,Dépense liée à autres
2024-01-06,Frais bancaires,Opérations,Kankan,69376,Dépense liée à frais bancaires
2024-07-26,Infrastructure IT,Opérations,Nzérékoré,162372,Dépense liée à infrastructure it
2024-06-21,Maintenance,Opérations,Labé,131084,Dépense liée à maintenance
2024-12-27,Voyages,Support Client,Kankan,162777,Dépense liée à voyages
2024-07-03,Salaires,Ventes,Kankan,44698,Dépense liée à salaires
2024-09-05,Voyages,Marketing,Kindia,20987,Dépense liée à voyages
2024-06-18,Frais bancaires,Support Client,Nzérékoré,32981,Dépense liée à frais bancaires
2024-11-19,Frais bancaires,Support Client,Labé,168808,Dépense liée à frais bancaires
2024-08-17,Voyages,Marketing,Nzérékoré,194978,Dépense liée à voyages
2024-04-04,Frais bancaires,Support Client,Labé,176571,Dépense liée à frais bancaires
2024-12-24,Autres,Ventes,Nzérékoré,114317,Dépense liée à autres
2024-11-05,Marketing,Marketing,Labé,101181,Dépense liée à marketing
2024-05-11,Maintenance,Marketing,Kindia,182506,Dépense liée à maintenance
2024-06-18,Infrastructure IT,Marketing,Kindia,197548,Dépense liée à infrastructure it
2024-01-22,Salaires,Opérations,Conakry,170718,Dépense liée à salaires
2024-11-13,Infrastructure IT,Finance,Kindia,150276,Dépense liée à infrastructure it
2024-11-01,Formation,Support Client,Kindia,66312,Dépense liée à formation
2024-09-15,Autres,Opérations,Conakry,18558,Dépense liée à autres
2024-07-03,Infrastructure IT,Opérations,Nzérékoré,21015,Dépense liée à infrastructure it
2024-08-26,Formation,Finance,Labé,70500,Dépense liée à formation
2024-03-06,Salaires,Opérations,Labé,189094,Dépense liée à salaires
2024-01-12,Salaires,Finance,Conakry,57864,Dépense liée à salaires
2024-11-30,Marketing,Marketing,Kindia,48903,Dépense liée à marketing
2024-11-01,Maintenance,Support Client,Labé,77432,Dépense liée à maintenance
2024-04-25,Frais bancaires,Marketing,Labé,69471,Dépense liée à frais bancaires
2024-06-15,Marketing,Opérations,Labé,105275,Dépense liée à marketing
2024-11-23,Maintenance,Finance,Kindia,22204,Dépense liée à maintenance
2024-11-04,Maintenance,Finance,Nzérékoré,49152,Dépense liée à maintenance
2024-10-24,Voyages,Finance,Labé,20133,Dépense liée à voyages
2024-05-02,Formation,Ventes,Nzérékoré,184278,Dépense liée à formation
2024-08-25,Maintenance,Marketing,Kindia,199111,Dépense liée à maintenance
2024-02-13,Frais bancaires,Ventes,Labé,54390,Dépense liée à frais bancaires
2024-10-26,Voyages,Opérations,Labé,12120,Dépense liée à voyages
2024-03-19,Infrastructure IT,Opérations,Labé,86645,Dépense liée à infrastructure it
2024-09-21,Voyages,Marketing,Conakry,85037,Dépense liée à voyages
2024-07-16,Voyages,Support Client,Labé,81246,Dépense liée à voyages
2024-03-02,Maintenance,Marketing,Labé,173777,Dépense liée à maintenance
2024-08-30,Infrastructure IT,Finance,Conakry,133317,Dépense liée à infrastructure it
2024-01-23,Autres,Finance,Conakry,182923,Dépense liée à autres
2024-02-08,Frais bancaires,Ventes,Nzérékoré,34259,Dépense liée à frais bancaires
2024-10-06,Formation,Finance,Labé,197287,Dépense liée à formation
2024-10-03,Maintenance,Support Client,Labé,12311,Dépense liée à maintenance
2024-06-16,Marketing,Ventes,Labé,16428,Dépense liée à marketing
2024-04-09,Formation,Opérations,Labé,100847,Dépense liée à formation
2024-06-23,Marketing,Opérations,Labé,27462,Dépense liée à marketing
2024-02-07,Frais bancaires,Ventes,Labé,15680,Dépense liée à frais bancaires
2024-02-27,Autres,Opérations,Kankan,90415,Dépense liée à autres
2024-05-26,Formation,Marketing,Nzérékoré,78131,Dépense liée à formation
2024-12-20,Marketing,Support Client,Nzérékoré,121556,Dépense liée à marketing
2024-10-29,Autres,Opérations,Labé,160367,Dépense liée à autres
2024-04-15,Voyages,Support Client,Labé,191525,Dépense liée à voyages
2024-10-06,Frais bancaires,Finance,Kindia,43422,Dépense liée à frais bancaires
2024-04-26,Formation,Opérations,Labé,152590,Dépense liée à formation
2024-08-12,Marketing,Opérations,Nzérékoré,110160,Dépense liée à marketing
2024-08-27,Salaires,Ventes,Conakry,135839,Dépense liée à salaires
2024-01-12,Maintenance,Marketing,Kindia,103690,Dépense liée à maintenance
2024-05-13,Infrastructure IT,Marketing,Labé,147151,Dépense liée à infrastructure it
2024-02-05,Voyages,Support Client,Kindia,181838,Dépense liée à voyages
2024-07-11,Voyages,Opérations,Conakry,92563,Dépense liée à voyages
2024-07-29,Marketing,Marketing,Labé,58090,Dépense liée à marketing
2024-11-18,Formation,Opérations,Nzérékoré,196367,Dépense liée à formation
2024-06-05,Voyages,Ventes,Labé,102713,Dépense liée à voyages
2024-12-21,Autres,Marketing,Kankan,146559,Dépense liée à autres
2024-11-09,Autres,Support Client,Kankan,81744,Dépense liée à autres
2024-05-13,Autres,Ventes,Kankan,13691,Dépense liée à autres
2024-05-31,Voyages,Finance,Conakry,72574,Dépense liée à voyages
2024-06-05,Infrastructure IT,Finance,Nzérékoré,178018,Dépense liée à infrastructure it
2024-08-30,Marketing,Support Client,Kankan,192669,Dépense liée à marketing
2024-05-14,Salaires,Opérations,Kindia,152209,Dépense liée à salaires
2024-10-13,Marketing,Finance,Kindia,40608,Dépense liée à marketing
2024-04-29,Frais bancaires,Opérations,Kankan,190998,Dépense liée à frais bancaires
2024-09-20,Infrastructure IT,Ventes,Labé,93087,Dépense liée à infrastructure it
2024-09-06,Autres,Finance,Nzérékoré,151933,Dépense liée à autres
2024-11-16,Marketing,Opérations,Kindia,87855,Dépense liée à marketing
2024-09-26,Salaires,Ventes,Conakry,163301,Dépense liée à salaires
2024-02-06,Marketing,Marketing,Kankan,123192,Dépense liée à marketing
2024-04-22,Formation,Finance,Nzérékoré,176619,Dépense liée à formation
2024-01-21,Formation,Ventes,Kindia,52265,Dépense liée à formation
2024-06-07,Marketing,Ventes,Kindia,18326,Dépense liée à marketing
2024-02-22,Infrastructure IT,Opérations,Conakry,49187,Dépense liée à infrastructure it
2024-05-18,Voyages,Opérations,Kankan,155265,Dépense liée à voyages
2024-05-04,Frais bancaires,Marketing,Conakry,163135,Dépense liée à frais bancaires
2024-08-27,Formation,Finance,Kindia,109123,Dépense liée à formation
2024-07-10,Formation,Support Client,Kankan,136486,Dépense liée à formation
2024-11-25,Formation,Finance,Labé,178776,Dépense liée à formation
2024-09-17,Infrastructure IT,Marketing,Kankan,168464,Dépense liée à infrastructure it
2024-01-04,Voyages,Opérations,Nzérékoré,5094,Dépense liée à voyages
2024-07-27,Autres,Opérations,Labé,131387,Dépense liée à autres
2024-06-07,Formation,Finance,Kankan,162172,Dépense liée à formation
2024-06-12,Formation,Opérations,Kankan,197879,Dépense liée à formation
2024-10-22,Maintenance,Ventes,Conakry,65287,Dépense liée à maintenance
2024-06-30,Infrastructure IT,Ventes,Nzérékoré,11285,Dépense liée à infrastructure it
2024-05-03,Salaires,Marketing,Nzérékoré,159446,Dépense liée à salaires
2024-06-23,Maintenance,Ventes,Conakry,68469,Dépense liée à maintenance
2024-08-11,Marketing,Ventes,Nzérékoré,108951,Dépense liée à marketing
2024-12-02,Voyages,Marketing,Nzérékoré,51085,Dépense liée à voyages
2024-10-28,Voyages,Opérations,Conakry,76612,Dépense liée à voyages
2024-08-11,Maintenance,Finance,Nzérékoré,182182,Dépense liée à maintenance
2024-01-02,Formation,Finance,Kankan,110422,Dépense liée à formation
2024-05-06,Maintenance,Opérations,Conakry,23740,Dépense liée à maintenance
2024-03-16,Autres,Marketing,Labé,143540,Dépense liée à autres
2024-08-22,Maintenance,Support Client,Kindia,162212,Dépense liée à maintenance
2024-10-30,Autres,Finance,Conakry,130196,Dépense liée à autres
2024-06-03,Frais bancaires,Ventes,Conakry,108497,Dépense liée à frais bancaires
2024-03-15,Salaires,Ventes,Labé,126964,Dépense liée à salaires
2024-01-28,Formation,Marketing,Kindia,34837,Dépense liée à formation
2024-06-02,Frais bancaires,Opérations,Labé,116686,Dépense liée à frais bancaires
2024-07-01,Voyages,Opérations,Labé,56353,Dépense liée à voyages
2024-03-29,Salaires,Finance,Conakry,51104,Dépense liée à salaires
2024-04-07,Marketing,Support Client,Nzérékoré,128240,Dépense liée à marketing
2024-09-20,Marketing,Support Client,Conakry,128134,Dépense liée à marketing
2024-09-07,Voyages,Ventes,Labé,166781,Dépense liée à voyages
2024-01-17,Frais bancaires,Finance,Nzérékoré,128146,Dépense liée à frais bancaires
2024-08-26,Maintenance,Support Client,Labé,96621,Dépense liée à maintenance
2024-06-01,Marketing,Marketing,Labé,52864,Dépense liée à marketing
2024-02-17,Voyages,Marketing,Kankan,61004,Dépense liée à voyages
2024-12-22,Salaires,Finance,Nzérékoré,30542,Dépense liée à salaires
2024-07-29,Salaires,Finance,Labé,24469,Dépense liée à salaires
2024-07-24,Marketing,Ventes,Kankan,47920,Dépense liée à marketing
2024-09-03,Maintenance,Ventes,Kindia,62878,Dépense liée à maintenance
2024-04-17,Autres,Finance,Labé,140319,Dépense liée à autres
2024-10-02,Autres,Ventes,Kankan,56122,Dépense liée à autres
2024-11-19,Autres,Marketing,Kindia,33728,Dépense liée à autres
2024-06-15,Maintenance,Finance,Kankan,139041,Dépense liée à maintenance
2024-11-15,Maintenance,Support Client,Kindia,94949,Dépense liée à maintenance
2024-04-23,Frais bancaires,Finance,Conakry,46964,Dépense liée à frais bancaires
2024-11-17,Maintenance,Marketing,Kankan,33791,Dépense liée à maintenance
2024-06-01,Maintenance,Support Client,Kindia,73496,Dépense liée à maintenance
2024-06-28,Maintenance,Opérations,Kankan,120640,Dépense liée à maintenance
2024-03-21,Salaires,Finance,Kindia,156039,Dépense liée à salaires
2024-10-04,Formation,Support Client,Kindia,96241,Dépense liée à formation
2024-11-29,Infrastructure IT,Ventes,Labé,7499,Dépense liée à infrastructure it
2024-07-02,Autres,Finance,Nzérékoré,126171,Dépense liée à autres
2024-04-19,Autres,Support Client,Kindia,64568,Dépense liée à autres
2024-04-08,Frais bancaires,Finance,Conakry,15232,Dépense liée à frais bancaires
2024-12-09,Marketing,Finance,Conakry,151684,Dépense liée à marketing
2024-02-20,Voyages,Ventes,Nzérékoré,176268,Dépense liée à voyages
2024-05-15,Formation,Finance,Conakry,9462,Dépense liée à formation
2024-10-09,Voyages,Marketing,Conakry,34779,Dépense liée à voyages
2024-07-17,Autres,Finance,Labé,60785,Dépense liée à autres
2024-02-19,Autres,Ventes,Labé,119650,Dépense liée à autres
2024-07-08,Formation,Finance,Kindia,48788,Dépense liée à formation
2024-12-22,Formation,Ventes,Kankan,131048,Dépense liée à formation
2024-02-10,Salaires,Finance,Nzérékoré,61860,Dépense liée à salaires
2024-09-19,Maintenance,Opérations,Labé,145841,Dépense liée à maintenance
2024-09-17,Maintenance,Opérations,Labé,25816,Dépense liée à maintenance
2024-04-04,Maintenance,Marketing,Kindia,151519,Dépense liée à maintenance
2024-11-25,Frais bancaires,Marketing,Conakry,185631,Dépense liée à frais bancaires
2024-06-13,Formation,Finance,Labé,68683,Dépense liée à formation
2024-06-17,Infrastructure IT,Marketing,Conakry,155729,Dépense liée à infrastructure it
2024-04-18,Marketing,Support Client,Conakry,97161,Dépense liée à marketing
2024-01-11,Frais bancaires,Support Client,Conakry,96305,Dépense liée à frais bancaires
2024-09-15,Salaires,Ventes,Labé,140249,Dépense liée à salaires
2024-10-19,Frais bancaires,Opérations,Nzérékoré,54746,Dépense liée à frais bancaires
2024-07-23,Maintenance,Support Client,Conakry,182281,Dépense liée à maintenance
2024-03-10,Maintenance,Support Client,Nzérékoré,152672,Dépense liée à maintenance
2024-04-05,Salaires,Finance,Kankan,160613,Dépense liée à salaires
2024-12-03,Salaires,Marketing,Conakry,62940,Dépense liée à salaires
2024-08-26,Autres,Finance,Labé,172418,Dépense liée à autres
2024-06-25,Voyages,Ventes,Kankan,90237,Dépense liée à voyages
2024-12-18,Formation,Finance,Nzérékoré,80569,Dépense liée à formation
2024-06-02,Voyages,Ventes,Conakry,104373,Dépense liée à voyages
2024-12-15,Formation,Marketing,Kankan,86862,Dépense liée à formation
2024-03-22,Marketing,Finance,Nzérékoré,164429,Dépense liée à marketing
2024-06-10,Marketing,Ventes,Kindia,192913,Dépense liée à marketing
2024-05-09,Infrastructure IT,Marketing,Nzérékoré,92445,Dépense liée à infrastructure it
2024-11-10,Salaires,Support Client,Labé,65811,Dépense liée à salaires
2024-03-03,Maintenance,Opérations,Conakry,31472,Dépense liée à maintenance
2024-08-03,Formation,Finance,Nzérékoré,19593,Dépense liée à formation
2024-11-26,Salaires,Opérations,Kindia,144690,Dépense liée à salaires
2024-01-24,Salaires,Ventes,Conakry,15868,Dépense liée à salaires
2024-02-02,Frais bancaires,Marketing,Conakry,125808,Dépense liée à frais bancaires
2024-09-27,Formation,Ventes,Kankan,28620,Dépense liée à formation
2024-02-22,Voyages,Finance,Kindia,90151,Dépense liée à voyages
2024-08-26,Salaires,Finance,Conakry,72027,Dépense liée à salaires
2024-07-26,Infrastructure IT,Support Client,Kankan,195805,Dépense liée à infrastructure it
2024-06-03,Salaires,Support Client,Labé,80130,Dépense liée à salaires
2024-04-05,Salaires,Finance,Kindia,150335,Dépense liée à salaires
2024-04-26,Frais bancaires,Support Client,Labé,153430,Dépense liée à frais bancaires
2024-11-21,Salaires,Ventes,Kankan,103441,Dépense liée à salaires
2024-01-09,Autres,Ventes,Labé,157063,Dépense liée à autres
2024-12-25,Frais bancaires,Ventes,Conakry,184822,Dépense liée à frais bancaires
2024-02-24,Infrastructure IT,Ventes,Nzérékoré,21455,Dépense liée à infrastructure it
2024-01-22,Formation,Ventes,Nzérékoré,107426,Dépense liée à formation
2024-03-24,Infrastructure IT,Support Client,Kankan,133641,Dépense liée à infrastructure it
2024-03-14,Marketing,Support Client,Labé,167463,Dépense liée à marketing
2024-11-15,Autres,Marketing,Labé,165536,Dépense liée à autres
2024-12-25,Voyages,Support Client,Nzérékoré,124979,Dépense liée à voyages
2024-06-19,Maintenance,Finance,Conakry,35405,Dépense liée à maintenance
2024-06-21,Salaires,Ventes,Kindia,93253,Dépense liée à salaires
